City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
301,Meulaboh,ID,4.14,96.13,77.07,88,100,3.67,overcast clouds
302,Vanimo,PG,-2.67,141.3,77.76,85,100,1.23,moderate rain
303,Talcahuano,CL,-36.72,-73.12,68.0,56,0,21.92,clear sky
304,Indianola,US,41.36,-93.56,33.01,55,0,11.05,clear sky
305,Daru,PG,-9.08,143.21,81.0,83,100,8.63,overcast clouds
306,Sinnamary,GF,5.38,-52.95,80.49,83,86,9.24,moderate rain
307,Sartell,US,45.62,-94.21,30.99,53,1,1.63,clear sky
308,Kavieng,PG,-2.57,150.8,79.63,81,91,3.94,overcast clouds
309,Asau,RO,46.43,26.4,33.8,94,90,11.41,overcast clouds
310,Itaqui,BR,-29.13,-56.55,81.82,67,15,8.63,few clouds
311,Port Blair,IN,11.67,92.75,81.61,79,0,16.06,clear sky
312,Perpignan,FR,42.75,2.75,52.0,93,0,2.24,clear sky
313,Varhaug,NO,58.61,5.65,44.6,93,75,6.93,broken clouds
314,Sao Francisco Do Sul,BR,-26.24,-48.64,80.6,78,40,8.05,scattered clouds
315,Lautaro,CL,-38.52,-72.45,68.0,60,0,12.75,clear sky
316,Vredendal,ZA,-31.67,18.5,59.43,79,0,12.39,clear sky
317,Great Yarmouth,GB,52.61,1.73,48.2,81,70,13.87,broken clouds
318,Gushikawa,JP,26.35,127.87,68.0,68,75,19.46,broken clouds
319,San Policarpo,PH,12.18,125.51,80.04,86,100,16.71,moderate rain
320,Lisieux,FR,49.17,0.17,51.8,100,90,14.99,mist
321,Hamilton,US,39.18,-84.53,35.6,100,90,11.41,light snow
322,Silifke,TR,36.38,33.93,57.65,63,100,10.87,overcast clouds
323,Leninskoye,KZ,41.76,69.39,32.0,85,100,2.24,mist
324,Upernavik,GL,72.79,-56.15,-5.49,83,0,13.09,clear sky
325,Mitsamiouli,KM,-11.38,43.28,80.37,75,0,9.24,clear sky
326,Sola,VU,-13.88,167.55,77.92,86,100,21.47,heavy intensity rain
327,Vinh,VN,18.67,105.67,65.16,80,100,5.26,overcast clouds
